1,164645,95250,104125,169305,55864,94338,172487
2,49983,90204,49556,144010,54606,89073,172673
3,88531,74682,74129,172125,101126,59079,170468
4,86564,87232,88600,163560,54585,115665,131180
5,49526,50325,84787,143635,107953,56741,186192
6,51793,90378,84150,166012,53934,109144,194372
7,51059,83726,90445,167455,113917,111646,194728
8,90605,87044,72130,141664,81795,57421,131344
9,88055,91099,75255,162538,107146,112244,102776
10,96480,100923,87174,88082,106067,106855,131272
11,48964,84828,73495,112730,98457,107541,192740
12,128314,68272,48829,138871,54676,86172,189105
13,171087,84803,47723,169769,100742,118676,133593
14,101875,134393,104498,138127,55655,57230,173339
15,86851,88439,49009,159972,82226,57072,191282
16,70400,89254,50445,161660,103478,93953,164902
17,197805,85883,70905,88676,210014,60686,167742
18,73181,91315,85407,167312,110231,111019,166594
19,88791,83969,96256,93973,104267,108524,134080
20,91742,76409,48906,141412,100161,109230,130669
21,78449,48523,50137,165265,55694,119966,170437
22,87613,94387,49184,165954,106898,117468,170380
23,90591,78471,50807,91456,110196,105276,192185
24,88644,89147,85389,163647,102010,103345,171586
25,174289,85784,78678,116943,91004,58257,169823
26,49694,91420,76080,170191,101552,92795,135626
27,84791,76172,85146,142765,107167,93705,107296
28,86709,87498,88550,423435,111047,110628,132978
29,81467,85692,49925,94389,54862,109798,194480
30,91031,73354,87135,139913,105800,114626,132369
