1,92690,51094,58953,83592,40128,61376,82564
2,47738,36138,47001,85026,51923,60929,72106
3,48376,44812,34707,72657,49183,53773,72057
4,50249,49442,49885,73216,50660,54752,81793
5,36564,49490,49836,74265,47089,56471,77381
6,52206,40459,52372,74921,56013,61588,77985
7,50111,43667,52605,63933,47563,41543,69918
8,42826,43874,46894,71938,48253,41423,95979
9,45194,50529,49423,77347,59553,40907,70638
10,51326,51098,38596,62273,53815,58359,89852
11,52529,52129,46384,75797,52803,60758,85620
12,52160,36856,40257,75920,53557,57363,81153
13,50683,51492,38047,72788,56881,58472,70007
14,38922,49594,50499,75521,54539,62053,71198
15,53532,50207,49151,74772,52560,56521,82709
16,45928,45393,44764,71554,55118,59685,82618
17,52709,33950,48698,85501,53222,62029,82024
18,48820,51519,50286,75645,49236,66198,69716
19,36140,35185,49624,69326,53855,59481,71180
20,46220,46260,52318,76135,48761,55688,81219
21,47709,45670,53323,71207,38156,64286,71720
22,51561,49417,51509,73671,54324,56696,81336
23,53840,44155,35863,74372,48717,52409,80534
24,35043,52314,49303,74064,55760,57425,92684
25,47329,50102,50765,72265,55455,44280,79667
26,50518,35757,46360,78844,52833,55397,82794
27,52880,35800,49125,70316,55846,58426,93874
28,36975,49933,48979,72953,58064,51407,84376
29,49042,36400,53349,71364,50024,54866,80859
30,52975,51165,51526,74396,37185,55304,71715
