1,400241,288066,292360,254334,287329,306587,286372
2,331815,284561,264391,335152,326803,333901,330108
3,330772,296531,287212,294806,299979,260042,265719
4,331550,326657,290301,289459,285470,311316,274127
5,334288,276572,306118,286719,328207,287529,286910
6,282647,294697,298133,320833,317516,318054,316928
7,293435,320168,282880,336381,312707,294206,296332
8,331072,302838,328427,329510,324045,303700,309383
9,286544,287414,326290,278533,300934,291819,279087
10,290271,317567,290987,328407,281256,325491,293286
11,293747,332074,315764,287160,316979,281009,261762
12,299047,305585,321111,301229,300065,283236,280640
13,299929,333830,284255,280913,292267,332023,319669
14,347432,292899,261677,287332,311985,287458,336040
15,294647,318748,289374,332457,301029,339111,294997
16,293037,287815,295801,299060,294934,308483,303903
17,291959,290102,340377,297704,322635,283621,288494
18,295449,284053,326533,336711,335915,301377,279040
19,289633,286514,285409,332024,279437,319741,285408
20,278674,327916,335397,327408,286780,328539,331882
21,336231,319311,313663,340839,334160,283844,336972
22,286984,286433,275942,294105,303873,311913,313581
23,301853,318738,337253,285313,337718,326866,309448
24,262141,245488,333824,331265,334681,275782,340736
25,283977,326678,296795,290145,288899,322795,314891
26,303529,328031,324728,333979,329073,287120,307367
27,304720,309017,303685,297431,282139,284403,290386
28,290985,268609,328552,340392,335162,334854,335122
29,335870,284940,288747,284654,282397,255360,284576
30,319197,283853,282539,334636,270653,325208,288795
