1,2692722,2642117,2797993,2530317,2590403,2517759,2588959
2,2783124,2779017,2797015,2555084,2787751,2556690,2789931
3,2763856,2790203,2588701,2653951,2800236,2581091,2803288
4,2783229,2549628,2622933,2605016,2795518,2783846,2796921
5,2805366,2551361,2806434,2782367,2801887,2790457,2525897
6,2780623,2562344,2631573,2599382,2774814,2571299,2626792
7,2786363,2566746,2644109,2787176,2771245,2547340,2656012
8,2787988,2787262,2791931,2562228,2634038,2637858,2599471
9,2641609,2603321,2793277,2553818,2780195,2552946,2612111
10,2788646,2579980,2800855,2789452,2767025,2800161,2552330
