1,1316748,1269794,1263093,1283083,1266952,1261244,1292827
2,1283744,1273309,1290022,1290119,1289289,1266001,1296715
3,1271172,1263970,1291828,1283273,1292944,1290965,1303012
4,1268098,1279829,1283892,1286555,1259142,1285468,1299808
5,1282427,1303397,1278044,1272765,1293973,1281737,1296798
6,1282359,1256505,1260554,1251338,1266350,1269173,1298032
7,1293405,1254914,1272506,1277479,1289793,1265096,1291327
8,1287528,1276561,1273059,1267051,1269655,1282705,1290567
9,1279930,1266866,1260039,1284640,1287251,1261310,1266376
10,1283505,1288017,1258986,1267657,1274122,1286592,1293924
